Date,Open,High,Low,Close,Adj Close,Volume,Day
2016-12-05,220.649994,221.399994,220.419998,221,195.699478,67837800,804
2016-12-06,221.220001,221.740005,220.660004,221.699997,196.319382,59877400,805
2016-12-07,221.520004,224.669998,221.380005,224.600006,198.88736,110738100,806
2016-12-08,224.570007,225.699997,224.259995,225.149994,199.374405,99714400,807
2016-12-09,225.410004,226.529999,225.369995,226.509995,200.57872,88005800,808
2016-12-12,226.399994,226.960007,225.759995,226.25,200.34845,102016100,809
2016-12-13,227.020004,228.339996,227,227.759995,201.685547,110477500,810
2016-12-14,227.410004,228.229996,225.369995,225.880005,200.020798,142501800,811
2016-12-15,226.160004,227.809998,225.889999,226.809998,200.84436,124972600,812
2016-12-16,226.009995,226.080002,224.669998,225.039993,200.451523,156420200,813
2016-12-19,225.25,226.020004,225.080002,225.529999,200.888016,90341100,814
2016-12-20,226.149994,226.570007,225.880005,226.399994,201.662964,89838800,815
2016-12-21,226.25,226.449997,225.770004,225.770004,201.101776,67909000,816
2016-12-22,225.600006,225.740005,224.919998,225.380005,200.754395,56219100,817
2016-12-23,225.429993,225.720001,225.210007,225.710007,201.04834,36697800,818
2016-12-27,226.020004,226.729996,226,226.270004,201.54715,42672500,819
2016-12-28,226.570007,226.589996,224.270004,224.399994,199.881485,64095000,820
2016-12-29,224.479996,224.889999,223.839996,224.350006,199.836945,48696100,821
2016-12-30,224.729996,224.830002,222.729996,223.529999,199.106522,108998300,822
2017-01-03,225.039993,225.830002,223.880005,225.240005,200.629669,91366500,823
2017-01-04,225.619995,226.75,225.610001,226.580002,201.823257,78744400,824
2017-01-05,226.270004,226.580002,225.479996,226.399994,201.662964,78379000,825
2017-01-06,226.529999,227.75,225.899994,227.210007,202.38443,71559900,826
2017-01-09,226.910004,227.070007,226.419998,226.460007,201.716385,46939700,827
2017-01-10,226.479996,227.449997,226.009995,226.460007,201.716385,63771900,828
2017-01-11,226.360001,227.100006,225.589996,227.100006,202.286453,74650000,829
2017-01-12,226.5,226.75,224.960007,226.529999,201.778763,72113200,830
2017-01-13,226.729996,227.399994,226.690002,227.050003,202.241882,62717900,831
2017-01-17,226.309998,226.779999,225.800003,226.25,201.529327,61240800,832
2017-01-18,226.539993,226.800003,225.899994,226.75,201.974701,54793300,833
2017-01-19,226.839996,227,225.410004,225.910004,201.226501,66608800,834
2017-01-20,226.699997,227.309998,225.970001,226.740005,201.96579,129168600,835
2017-01-23,226.740005,226.809998,225.270004,226.149994,201.440277,75061600,836
2017-01-24,226.399994,228.080002,226.270004,227.600006,202.731812,95555300,837
2017-01-25,228.699997,229.570007,228.509995,229.570007,204.486557,84437700,838
2017-01-26,229.399994,229.710007,229.009995,229.330002,204.272812,59970700,839
2017-01-27,229.419998,229.589996,228.759995,228.970001,203.952133,59711100,840
2017-01-30,228.169998,228.199997,226.410004,227.550003,202.687317,79737300,841
2017-01-31,226.979996,227.600006,226.320007,227.529999,202.669464,75880800,842
2017-02-01,227.529999,228.589996,226.940002,227.619995,202.749588,79117700,843
2017-02-02,227.619995,228.100006,226.820007,227.770004,202.883255,69657600,844
2017-02-03,228.820007,229.550003,228.460007,229.339996,204.281693,80563200,845
2017-02-06,228.869995,229.330002,228.539993,228.929993,203.916519,57790100,846
2017-02-07,229.380005,229.660004,228.720001,228.940002,203.925385,57931200,847
2017-02-08,228.940002,229.389999,228.309998,229.240005,204.192627,51566200,848
2017-02-09,229.240005,230.949997,229.240005,230.600006,205.404083,65955200,849
2017-02-10,231,231.770004,230.619995,231.509995,206.2146,66015900,850
2017-02-13,232.080002,233.070007,232.050003,232.770004,207.336945,55182100,851
2017-02-14,232.559998,233.710007,232.160004,233.699997,208.165314,71109000,852
2017-02-15,233.449997,235.139999,233.389999,234.919998,209.251984,86785800,853
2017-02-16,234.949997,235.160004,233.850006,234.720001,209.073868,84722400,854
2017-02-17,233.949997,235.089996,233.929993,235.089996,209.403458,77204100,855
2017-02-21,235.520004,236.690002,235.509995,236.490005,210.650467,88946100,856
2017-02-22,236.020004,236.539993,235.830002,236.279999,210.46344,62115200,857
2017-02-23,236.880005,236.899994,235.559998,236.440002,210.605957,74615900,858
2017-02-24,235.460007,236.789993,235.410004,236.740005,210.873184,82381600,859
2017-02-27,236.639999,237.309998,236.350006,237.110001,211.202744,56515400,860
2017-02-28,236.669998,236.949997,236.020004,236.470001,210.63269,96961900,861
2017-03-01,238.389999,240.320007,238.369995,239.779999,213.580963,149158200,862
2017-03-02,239.559998,239.570007,238.210007,238.270004,212.235977,70246000,863
2017-03-03,238.169998,238.610001,237.729996,238.419998,212.369614,81974300,864
2017-03-06,237.5,238.119995,237.009995,237.710007,211.737198,55391500,865
2017-03-07,237.360001,237.770004,236.759995,237,211.104797,65103700,866
2017-03-08,237.339996,237.639999,236.399994,236.559998,210.71283,78168800,867
2017-03-09,236.699997,237.240005,235.740005,236.860001,210.980072,90683900,868
2017-03-10,237.970001,238.020004,236.589996,237.690002,211.719391,81991700,869
2017-03-13,237.619995,237.860001,237.240005,237.809998,211.826218,57256800,870
2017-03-14,237.179993,237.240005,236.190002,236.899994,211.015671,59880800,871
2017-03-15,237.559998,239.440002,237.289993,238.949997,212.841675,96081800,872
2017-03-16,239.110001,239.199997,238.100006,238.479996,212.423004,78344000,873
2017-03-17,237.75,237.970001,237.029999,237.029999,212.049957,89002100,874
2017-03-20,237.029999,237.360001,236.320007,236.770004,211.817398,52537000,875
2017-03-21,237.470001,237.610001,233.580002,233.729996,209.097778,131809300,876
2017-03-22,233.770004,234.610001,233.050003,234.279999,209.589813,97569200,877
2017-03-23,234.279999,235.339996,233.600006,234.029999,209.36615,100410300,878
2017-03-24,234.380005,235.039993,232.960007,233.860001,209.214066,112504900,879
2017-03-27,231.929993,233.919998,231.610001,233.619995,208.999359,87454500,880
2017-03-28,233.270004,235.809998,233.139999,235.320007,210.520203,93483900,881
2017-03-29,234.990005,235.809998,234.729996,235.539993,210.71701,61950400,882
2017-03-30,235.470001,236.520004,235.270004,236.289993,211.387985,56737900,883
2017-03-31,235.899994,236.509995,235.679993,235.740005,210.895935,73733100,884
2017-04-03,235.800003,236.029999,233.910004,235.330002,210.529114,85546500,885
2017-04-04,235,235.580002,234.559998,235.479996,210.663361,56466200,886
2017-04-05,236.259995,237.389999,234.539993,234.779999,210.03714,108800600,887
2017-04-06,234.940002,236.039993,234.429993,235.440002,210.627548,69135800,888
2017-04-07,235.149994,236,234.639999,235.199997,210.412811,74412300,889
2017-04-10,235.360001,236.259995,234.729996,235.339996,210.538101,67615300,890
2017-04-11,234.899994,235.179993,233.339996,235.059998,210.287598,88045300,891
2017-04-12,234.740005,234.960007,233.770004,234.029999,209.36615,81864400,892
2017-04-13,233.639999,234.490005,232.509995,232.509995,208.006317,92880400,893
